area,2006,2009,2012
S01000927,1470,2136,3546
S01000928,4909,3917,5529
S01000929,213,566,443
S01000930,435,442,1074
S01000931,2358,3433,4366
S01000932,3591,3509,3902
S01000933,83,24,137
S01000934,29,107,42
S01000935,4851,4636,2158
S01000936,2214,2943,3270
S01000937,296,628,1433
S01000938,4526,5086,5527
S01000939,3432,4903,3994
S01000940,2962,3777,4919
S01000941,2547,5532,4329
S01000942,5046,5459,4827
S01000943,3695,5911,6246
S01000944,3442,5180,2807
S01000945,1236,1008,1154
S01000946,4930,4762,3665
S01000947,5014,6053,4174
S01000948,6463,6338,5933
S01000949,6114,6246,6413
S01000950,6157,5959,5672
S01000951,613,315,1114
S01000952,2504,5212,5083
S01000953,6206,5720,5374
S01000954,675,4664,4987
S01000955,6434,4400,4925
S01000956,1045,2454,3282
S01000957,6320,6493,5502
S01000958,2431,3802,1520
S01000959,4780,5186,4769
S01000960,3932,1972,3835
S01000961,2265,2177,3109
S01000962,28,177,170
S01000963,2919,2166,2867
S01000964,6370,6479,6244
S01000965,755,1032,1113
S01000966,3541,3062,4505
S01000967,1611,815,1562
S01000968,6074,5190,5866
S01000969,2121,1072,1337
S01000970,2492,760,772
S01000971,2394,520,1681
S01000972,4137,4498,3930
S01000973,2612,4585,3025
S01000974,4074,5744,5937
S01000975,6369,5454,5879
S01000976,5104,5501,5954
S01000977,4717,4015,2658
S01000978,4522,4542,3419
S01000979,5794,4123,3585
S01000980,2443,2066,2806
S01000981,1322,3709,2689
S01000982,4845,5971,4178
S01000983,6211,6344,5484
S01000984,6259,6374,5109
S01000985,3655,2981,3037
S01000986,2039,3708,4402
S01000987,5980,6269,6325
S01000988,6311,5169,6248
S01000989,6467,4892,5259
S01000990,2563,3893,3063
S01000991,6176,6315,6487
S01000992,3666,4025,4520
S01000993,5554,5102,5101
S01000994,4058,1860,4053
S01000995,5191,6470,6215
S01000996,1442,2418,2172
S01000997,6049,6045,6487
S01000998,2361,3373,2767
S01000999,3232,4800,3143
S01001000,2353,5593,1313
S01001001,5821,5812,5758
S01001002,4037,5772,5390
S01001003,5979,6271,6367
S01001004,4846,4766,6442
S01001005,4305,6111,5887
S01001006,1571,4084,5991
S01001007,1473,1912,2065
S01001008,1845,2416,4407
S01001009,4211,4114,3645
S01001010,948,2547,2092
S01001011,6125,5950,6049
S01001012,5927,5497,5876
S01001013,863,1652,2084
S01001014,5,9,6
S01001015,2467,2123,2371
S01001016,5301,4590,4308
S01001017,849,1085,1425
S01001018,2611,2947,1771
S01001019,431,911,599
S01001020,659,816,2422
S01001021,2661,1751,2094
S01001022,86,72,18
